categories,review
"['errors', 'cloud mechanics', 'uplay']",bought this game in the steam sale played for an hour restarted game later and save was gone found online others had same problem disabled cloud save and started from beginning played 20min and restarted game to be sure save game gone gave up sort it out ubisoft
"['storyline', 'combat', 'graphics', 'series', 'entertainment value']",the assassin creed franchise has had its up and downs but acv is absolutely an up this game is extremely fun and i recommend it to anyone who enjoyed the previous games the ship combat has improved and the graphics are beautiful this game is probably my favorite in the franchise so far
['pirate theme'],pirates
"['graphics', 'audio', 'audience', 'pc requirements', 'difficulty', 'story', 'game time', 'price', 'bugs']",graphics  you forget what reality is  beautiful  good  decent  bad  don ‘t look too long at it  ms -dos gameplay  very good  good  it 's just gameplay  mehh  watch paint dry instead  just don 't audio  eargasm  very good  good  not too bad  bad  i 'm now deaf audience  kids  teens  adults  grandma pc requirements  check if you can run paint  potato  decent  fast  rich boi  ask nasa if they have a spare computer difficulty  just press 'w'  easy  easy to learn / hard to master  significant brain usage  difficult  dark souls grind  nothing to grind  only if u care about leaderboards /ranks  isn 't necessary to progress  average grind level  too much grind  you 'll need a second life for grinding story  no story  some lore  average  good  lovely  it 'll replace your life game time  long enough for a cup of coffee  short  average  long  to infinity and beyond price  it 's free  worth the price  if it 's on sale  if u have some spare money left  not recommended  you could also just burn your money bugs  never heard of  minor bugs  can get annoying  ark survival evolved  the game itself is a big terrarium for bugs 10 / 8 (x x  1  2  3  4  5  6  7  8  9  10
['no topic'],ubisoft is excessive with its barriers if you want people to buy and play your game then stop including 18 steps and unnecessary identity collecting its just a game also when people buy a game they should be able to play offline
['errors'],do not buy games activation key does not work
['no topic'],here i will leave the cat friends who pass by can pet it and give it a thumbs up   l  x / /    
"['series', 'character', 'storyline']","this game is almost brilliant in all the ways it could possibly be new revamped open -world, new colourful characters good old gameplay mechanics as well as new ones everything works out and everything suits the assassin's creed  saga i am a bit disappointed that there 's too much taken from acii (just again rather than ac or aciii. however i enjoy the game and i sense it 's great potential for the rest of the season with all the dlc and side -activites like ac initiates ."
"['storyline', 'graphics', 'music', 'exploration']",quality storyline beautiful music cool ships fun exploration
"['storyline', 'combat', 'exploration', 'series']",finished the story like 3 or 4 times never gets old love it installing again for one more time with a few new dlc 's. assassin ’s creed iv black flag is an awesome game with a great story it has great combat both naval and when dueling the end of the game content and side quests are great the side missions and exploration are great offering stories of their own and allowing you to make your own story really recomend this game
"['assassin theme', 'pirate theme']",this is assassin pirate skyrim
['customer support'],i decided to delete my earlier review and write this one as i can no longer recommend this game due to ubisoft and uplay first after 56 hours of game play my save game was lost i did some research and found out a lot of people have this issue i decided to open a support ticket with ubisoft so i logged in to their support site i went through the 'submit a question option to explain the issue when i click submit it take me to a list of possible solutions none of which are even close and says if these dont fix your issue click submit only the submit button does nothing i click on 'my questions only to have no new questions there i tried this three times and could not submit a question i then went to the ubisoft technical support forum to post about the black flag issue and the submit a question issue i typed out my new post and tried to 'submit' it it tells me i have to choose a 'thread prefix so i choose one from their drop down box and click submit it blanks out my thread prefix and tells me i have to choose a thread prefix i think maybe this is a bug because i didn 't have a thread prefix selected when i first submitted i retype the entire post choose a prefix and click 'submit' only for the forum to blank out my thread prefix and tell me i need to choose a thread prefix i finally had to reply to someone else complaing thread because i could not create my own uplay and ubisoft have forced me to change my review as i do not want my friends to have to go through this crap
"['assassin theme', 'pirate theme']",pretty decent assassin 's creed game amazing pirate game
"['storyline', 'graphics', 'entertainment value']",best ac game i have ever played in my life
"['graphics', 'music']",one of the greatests ac games amazing music score too
"['storyline', 'series']",this is the best assassins creed game ever i much prefer this to later versions
"['series', 'combat']",my very favorite ac game perhaps the best game in the ac series you will like this game if you like blowing the crap out of ships and then plundering
['series'],best pirates of the caribbean game
"['errors', 'optimization', 'uplay', 'series', 'customer support']",hey there steam users if you recently tried to replay or play for the 1st time the 10 year old game assassin 's creeds black flag well you 're in luck because game is :steamsalty: buggy af all dlcs or some of them won 't work fps issues crashes etc etc let me save you some time after you send a few tickets to to ubisoft support website they will tell you that their team of devs are working really hard to fix your problem because you the player are their main priority in reality some of the issues have been around for months and they are not being fixed or they are low priority maybe because it 's a 10 year old game or maybe because they are trying to shift away from steam and force you to go on they 're platform solution refund dlcs and play the base game only if you must or complain here <eu consumer protection agency i 'm not advocating to play the cracked version but that one works like on release day good luck
"['storyline', 'graphics', 'combat', 'exploration', 'stealth', 'movement', 'music', 'optimization']",assassin 's creed iv black flag is a sequel to assassin 's creed iii (the reason it is a sequel has to do with modern -day storyline this game goes one century back in 17th century during the 'golden age of piracy as you play as edward kenway the father of haytham kenway thus the grandfather of ratonhnhaké :ton/connor (the protagonist of assassin 's creed iii  the setting is beautifully made with realistic looking oceans and breathtaking landscapes the color and beauty is quite well made it feels like the beauty i once saw in assassin 's creed ii each major locations look unique to each other for example havana has blockly colorish clay houses with sandy streets nassau looks like a jungle mix with towns and kingston has colorful yet similar buildings like the ones in assassin 's creed iii everything is made pretty darn well  it has retain the same concepts in assassin 's creed iii but much more improved hiding in bushes will not always protect you now as enemies will not only search bushes but can spot you quickly if they are near enough to see you combat system has been improved and difficulty is balanced the new free -aim system works very well and bodyshooting enemies will not always kill them so headshots are mostly necessary and reloading the gun (s) are quick and easy there are changes for the enemies combat as well they have the ability to tackle you down during a chase enemies such as scouts and captains can attack you in free flow combat similar to what connor does in assassin 's creed iii sharpshooters tend to shoot at you from above and stays there even if you are hiding the stealth system seems to have improved and for me it was enjoyable naval combat is the key in this game edward 's ship the jackdaw will be greatly relied on and if you enjoyed naval combat in assassin 's creed iii then you will love this as well your ship can shoot cannons with correct aiming swivel guns aim perfectly you can shoot fire barrels from behind and shoot chain shots from the front and with some more upgrades you can use mortars and upgraded rams these are useful when fighting tougher ships like man o wars you can now plunder ships when the ship is damaged enough no cutscenes play during the plundering and moments like these are great the wanted system will not apply on land however it will apply on the sea as long as you keep plundering ships your noteriety will increase which will result pirate hunters to go after you the higher the noteriety the bigger the ship (s) will come and more difficult it becomes the crafting system is encouraged so you may have more guns to carry more health to gain more ammo to hold and so on you can craft simply through the pause menu you need materials which leads to hunting which encouraged to hunt animals such as iguanas deers monkeys and even crocodiles if you go further you can even hunt sea creatures such as hammerhead sharks great white sharks humpback whales killer whales and if you are lucky a white whale assassin 's creed iv has also introduced underwater exploring for the first time in the series which you use a diving bell to explore and gain treasures in the deep ocean while avoiding dangerous animals such as great white sharks jellyfishes sea urchins and moray eels you can avoid them by gaining oxygen through barrels or diving bells or hiding in seaweed (be careful as it may contain a moray eel  there are some bugs that i encounter but was never interfering with my gameplay i must say though this sort of bug is the most oddest and most epic bug i have ever seen in a game sometimes you will have a hole in the water ...and...well...lets just say ...your sailors might ...go to heaven and the jackdaw rises from the sea or your ship is at the air and will go down quickly like crazy as if peter -pan was trolling edward it was the most hilarious bug i have ever seen in my lifetime don 't let this discourage you the game is still good to play regarding if it is pc optimized i cannot say i ran the game well with my 780m card at the highest settings possible but i cannot say the same for others this game improved greatly from its predecessor and i recommend it attempt to pay attention closely to the plot of both modern day and 17th century as it plays one heck of a major role for the next game additional notes i have finished the game with 100 synchronization this is a review for single -player only please be aware that i am reviewing the game itself not the ubisoft launcher or anything that has nothing to do with the game unless it is necessary to be said this game is played on my laptop intel core i7 4700mq 8 gb ram 1 tb 7200 rpm hard drive nvidia geforce gtx 780m 4 gb bigfoot killer wireless -n 1103
"['pirate theme', 'exploration', 'combat', 'character', 'entertainment value', 'music']",they don't make pirate games like they used to which is a big shame because this is obviously the best of the best this game has tons of things to do to keep you occupied simple but intense ship battles underwater exploring ship and character customization hunting and plenty of weapons and upgrades that will make you the king of the caribbean best pirate game ever the only complaint i can think of is that there's no option to switch the game's soundtrack with the pirates of the caribbean's.
"['series', 'combat', 'exploration', 'optimization', 'graphics', 'entertainment value']",this game might be the best of the franchise it combines the elements of assassin 's creed 3 's ship battles and the classic assassin mechanics the rpg elements of the ship are good since you have to go attack other ships in order to find your required materials there is a lot of content in this game missions assassin contracts and a lot of collectibles scattered throughout cities and uncharted locations such as islands or jungles the true pirate experience and maybe this isn 't too true to the assassin 's creed series but who gives a bottle of rum it 's awesome if you wait for a sale to come up for this game get it immediately if not get it anyway 10 /10
"['pirate theme', 'exploration', 'entertainment value']",best ac franchise wasting my time just for sailing around nowhere enjoying the view 'prepare the jackdaw *brace for impact aye captain
['no topic'],so glad a dev woke up and decided to break a 10 year old game
['errors'],ubisoft connect makes this game unplayable due to common unfixed login issues no discernible reason why these issues remain unfixed aside from a lack of care from the developers
"['pirate theme', 'combat', 'entertainment value']",i really enjoy playing black flag the start of the game with a ship fight was spectacular
"['assassin theme', 'pirate theme']",best assassin 's creed game yo ho yo ho a pirate 's life for me
"['storyline', 'graphics', 'music', 'details', 'gameplay', 'optimization', 'bugs', 'uplay']",my purchases assassin 's creed black flag gold edition my scores for this game story 9 /10 the story was more of a pirate story than an assassin 's creed but overall it was a beautiful story graphics */10 i prefer not to comment on the graphics because the game was not optimal for me and the graphics settings did not work well for me musics sound 10 /10 i also enjoyed the music of this assassin 's creed details 10 /10 the details were great especially the details of being a pirate and being a pirate  gameplay 9 /10 the gameplay was great but it can be repeated after a few hours of play but the naval battles section was great variety 10 /10 too much variety because the game was not optimal i could not play too much characterization 10 /10 i did not see any flaws in the character building all the characters were made with great care optimization 4 /10 in each game setting it was 10 -50 fps i did not get any results with any help on the internet multiplayer 1 /10 it did not run at all and it crashed bugs i saw a lot of bugs but not too many note need to connect ubisoftconnect description after finishing ac iii i realized that ac iv is the past haytham and i heard a lot of definitions of this game i downloaded the game with a lot of excitement the only drawback that bothered me was that the game was not optimal extra assassins creed freedom cry hd (dlc) overall score 9 .5/10 i recommend only the game has an optimal problem
"['pirate theme', 'combat']",what do we do with the drunken salor  kill him unawared and take the money fool that 's what real pirates do
"['pirate theme', 'storyline', 'combat', 'exploration', 'character', 'graphics', 'music']","competent, but not outstanding . summary: braving giant waves amid a storm launching a naval assault on an island fort going toe -to-toe with a spanish man -o-war: these are the kind of pirate adventures we dream of when we 're young assassin's creed iv black flag  brings these and more to life often accompanied by hearty sea shanties but it also carries with it the more monotonous side of sea life this isn 't grand theft auto ; there aren 't alleys to race through jumps to go off of or really much of anything to avoid crashing into there are plenty of cannons to fire but i 'd be lying if i said it didn 't get boring everything else you 've come to expect from an assassin's creed  game is also on display here there 's fluid foot travel wonderfully realized caribbean islands dotting the ocean waves and iconic historic figures pulled into the game 's fiction our protagonist edward kenway is charismatic and faces some unique challenges along his journey he 's also enough of a true pirate that it can be hard to root for him at times the story has some powerful moments but on the whole felt disjointed to me i recommend assassin's creed iv black flag , but don 't let the glowing reviews out there fool you into thinking it 's vastly different or better than previous games in the series full review : assassin's creed 's signature parkour locomotion is as liberating as ever here the caribbean doesn doesn 't have the kind of stately cities that europe does but the lush jungles seaside fishing villages larger port cities and mayan ruins are a joy to explore though with as many locales as there are some of them do tend to blur together if anything ac4 is guilty of having too much too many locations too many collectibles too many forgettable villains to lengthen the story black flag 's chapters tend to focus in on a single side character per chapter some of them are fascinating some not so much i particularly enjoyed blackbeard stede bonnet and james kidd with kidd ranking as one of my favorites in the series so far your quartermaster adéwalé is a likeable and steady presence throughout the game but is hard pressed to match up when filling a similar role to leonardo da vinci from the ezio games there are a host of more shallow forgettable characters but this again isn 't new to the series there is still a modern side to the game too it is told in first person in such a way as to make you the player feel like you 're an abstergo employee this has never been the highlight of the series but it 's not so bad as to detract there is a neat tie -in to the pirate side of the story as well with it being an ongoing tale i did find myself straining to remember what had happened in past games newcomers to the series will struggle the most here but should be able to pick up the gist of it combat is also much the same here counterattacks are a powerful fallback if you get low on health while mashing the attack button stealth is the much more satisfying option thankfully the mix of jungle and city environments lend themselves well to it ship -to-ship battles place a plethora of weapons at your disposal from your standard cannons to mortars rams fire barrels and more there can be a lot to keep track of especially if you are up against more than one enemy at once and the sea is rough enough to obscure your view cannon smoke can also be a hindrance there are four awesome 'legendary' ships that you can hunt near end game each is a supreme challenge even with a fully upgraded warship by that point naval combat had gotten too easy for me but these four battles were a great finale to reinvigorate the system the sound and visuals in ac4 are up to par for a aaa title weather was something i noticed was better implemented than i 've seen in the series one standout was a barren rocky ruin along the ocean that had the constant howl of sea wind buffeting it the voice actors with a couple exceptions were great this is my least favorite soundtrack of the series so far i do have to commend it for the innovative use of sea shanties as an immersive and enjoyable backing to your sailing the dlc freedom cry 's soundtrack on the other hand is very good with a lot of african influence i 'll close with a few notes on dlc and the gold edition there is the 'aveline pack that is little more than a short 45 minute linear introduction to ac: liberation . it seem like it 's there more to promote liberation than be a strong product of its own freedom cry  is a solid 3 to 4 hour addition that has you playing as adéwalé after the events of black flag . it 's representation of slavery is a bit simplistic and pc but didn 't stop me from enjoying it with the gold edition not including the soundtrack freedom cry  is the only part with real value in my view so you 're probably better off getting the standard edition and picking up freedom cry  separately"
"['pirate theme', 'storyline', 'graphics']",the story sucks but the new pirate gameplay is just too good ! a new dawn of assassin 's creed franchise full of ships 9 /10 (exceptional) possibly the best pirate game of the current gen and one weird assassin 's creed setting ever but hey it works what 's great about this game is almost purely from its pirate element be a pirate captain upgrading your ship shooting ships and looting stuffs as ubisoft knows one weird good thing they made in ac iii was the ship battle system in term of gameplay it 's a very good action -adventure pirate game graphics may not be as good looking as their newer titles but the sea looks just fantastic also it should run pretty decent on any modern pcs now only downside of the game is its medicore storyline that hardly related to previous games although good news is you don 't have to play any of the those to play this it 's just another war between assassins and templars at caribbean sea
"['storyline', 'series']",where other men blindly follow the truth remember 'nothing is true 'where other men are limited by morality or law remember 'everything is permitted 'we work in the dark to serve the light we are assassins   assassin 's creed black flag mmm truly a masterpiece at its time being an assassin 's creed fan from the very start of the series i totally loved the ac 4 black flag everything about it the story characters naval battles everything the ending was very touching real beautiful and rich story you can 't miss this title it 's a must play   10 /10
"['assassin theme', 'graphics', 'entertainment value']",this was my first assassin 's creed game amazing game the looks the gameplay all amazing highly recommend
"['series', 'assassin theme', 'character', 'combat', 'exploration', 'graphics', 'music']",without a doubt this game is one of the best assassin 's creed games in the series amazing protagonist great naval gameplay loads to do beautiful and massive open world and last but not least sea shanties
"['pirate theme', 'series']",prolly the best ac ever released in this long licence serie its aquatic open world and interactive ship battles started as side activity in the previous episode but improved and centered around in this one is the strong point ever wanted to be a pirate there you are
"['series', 'exploration', 'pirate theme', 'combat', 'graphics', 'movement', 'music', 'storyline']",assassins creed black flag has got to be one of the best in the series this is my first ever assassin 's creed game and i really enjoyed my experience with it for the very first time it 's a very lengthy game with so much to do excluding the main missions there 's so many places to explore and the best part about the game is i can do pirate stuff and travel in the open sea world and literally go anywhere to any island i can even upgrade my ship upgrade suits weapons etc the caribbean landscape is beautiful and reminds me of the first time i played far cry 3 the weather system is done well if you 're not a fan of deep water sailing over huge waves during a storm can feel uneasy missions side missions tend to get repetitive e .g. tail this guy kill that guy and the save points when you fail can get frustrating i found the smaller things in game like pick pocketing random people quite fun you 'll find that after a while the shanties your crew sings will drive you insane to the point that you 're forced to go chase down notes in towns to vary things up though i enjoy the hand to hand combat i felt at times the system was a tad clunky whereas the computer seems to highlight enemies for you black flag is an excellent game in its own right but if you have played some of the other games then the first few hours at least will feel a little more awkward in comparison that said it has a much larger scope larger world than probably any of the batman games with entire secondary games (piracy naval combat and a unique historical context and engaging story line
"['errors', 'uplay']",can 't even play the game because uplay is offline and can 't even register my key
['no topic'],this is better than unity
"['series', 'character']",أفضل من الجزء السابق بمراحل طريقة تطوير السفينة والشخصية رجعت متعة سلسلة أساسنز كريد (وأكيد الترجمة العربية في اللعبة ممتازة أنصح باللعبة وبقوة
"['pirate theme', 'combat']",the true assassin 's creed game to 100 would lose another 50 times to all legendary ships 10 /10
"['uplay', 'customer support']",forced to log in to uplay to play a game owned on steam couldn't remember password to uplay account tried common passwords now my account is suspended and internet says it could be deleted once again im being fucked up the arse by ubisoft fuck you ubisoft
['errors'],doesnt let you play unless u activate code but it wont let you activate because the servers are down ass
"['pirate theme', 'storyline', 'uplay']","great game so many nautical miles better than connor kenway 's story piloting a ship was the most fun part for me i actually think i spent more time at the helm of the jackdaw than chasing down the storyline a warning though make sure you disable ubisofts cloud server sync and always run uplay as adminstrator (a bug still wuth the latest ac games i found out the hard way after a 44 hour save file up and disappeared now 87 hours in i have completed the story and roughly 90 complete on the whole game much recommend game itself 9 .5/10, it would be a 10 for me if the bloatware that is uplay wasn 't present alas the frenchies try to match big boy steam and can 't even code their cloud servers correctly anyways back to the high seas for me yarrrrrrrrrrrr"
"['uplay', 'customer support']",>bought this game in a sale >attempted to make uplay account >uplay was unavailable >attempted to play uplay in offline mode >must sign into uplay once to play in offline mode >gets frustrated and requests refund for game that requires broken uplay account >steam support is unavailable at this time seriously f **k off uplay no one wants you and valve you should stop accepting this bs either have the game hosted via steam or don 't bother from now on i 'm personally going to automatically downvote any game that requires a 3rd party drm crap simply because its overcomplicated and completely unecessary
['no topic'],be prepared to refund i unfortunately learned after the fact that for thousands of people this game does 't run the internet is covered in potential fixes but they only work for some (i was not part of this lucky group ubisoft apparently refuses to address or fix the issue and steam has no disclaimer that it has a 50 %/50% chance of working for you if it runs great it 's a wonderful game if it doesn 't run i hope the fixes work for you
"['series', 'storyline']",best assassin 's creed release with a lot of features and activities to do after finishing the main story not to mention your up -gradable ship
"['storyline', 'exploration']",pirates plunder oh my i finished the main storyline but there was a long way to go before getting everything completed this game it 's really well done and keeps you playing even if you 've finished the main story i still have a long way to go before synchronizing everything and collecting all secrets and treasures
"['assassin theme', 'exploration', 'storyline', 'graphics', 'optimization', 'frame rate']",by far the best experience i have ever had in an assasins creed game and arguably the best assasins creed purchase i have ever made i think they should focus more on adventure in their next game than the action leaves a much more appealing and lasting experience a must buy for any serious gamer just watch out for the settings though needs some high -end hardware to run it on ultra 60fps fhd
"['series', 'combat', 'exploration', 'storyline', 'graphics']",introduction so i 'm a huge fan of ac i play the franchise since the first one but i just start playing assassin 's creed iv black flag in the begginning of this year it 's that sad a lot but it 's never late to play a game that give an expirence so good to the players gameplay the gameplay it 's still like the old ac we aren 't in that full rpg age still but have already some mechanics implemented like per exemple the customization that isn 't really good but it 's like the other games of the franchise the map it 's huge we have so many places to explore in game and the best it 's that while you are playing the camapaign it 's impossible to don 't pass for some zones that you will stop and check if have some chest fragment etc the combat it 's pretty basic can be easily compared with his ancestors is basically the same with some different but this is more a question about the new enemies that make you need move more and don 't just attack the movimentation is one of the strong ac points like i said before you have so many places to explore and with that parkour you can literally explore everything in a funniest way that will not make you become bored with the game so easily now let 's enter what makes in my opinion assassin 's creed iv black flag a epic game forget everything that you saw about naval fights because this game focus so much in that it 's just amazing the mechanics are basic it 's just mouse 2 to aim mouse 1 to shoot etc basic like a said but it 's so unbelievable how can be cool and when you are fight against some strong enemy like a galion per exemple it 's just a no words sensation however if you pay attention you will see some stupid bugs of the game that aren 't soo cool what make the game lose a litle bit of quality story we play was edward kenway where you have already listen that name yes you are right this is the grandpa of our friend connor form ac iii but coming back to the edward story he is a pirate that just kills and steels a assassin that is traitor don 't know anything about the order blavlabla just readed a letter saying 'you will receive a lot of money and yes is a pirate and he goes etc i don 't wanna do a full spoiler about the game so play to know the rest or see youtube videos fun hell yeah this game it 's amazing i had soo much fun playing the naval fights are just the best the way that you control it 's ahhhhh i loved and after when you start attacking fortress and big boats like galions it 's just a epic expirence at least i had a lot of fun the camapaign isn 't also bad i preferred my old and good ac brotherhood but you can still have some good time playing this camapaign knowing that you will continue spending more time exploring the map conclusion it 's just one word to explain the game masterpiece the combat the map the movimentation being like the old ones isn 't bad for real its great and with that exploration of the naval fights makes this game become 100 a masterpiece still have some bugs and that it 's what makes not a 10 /10 for me
"['storyline', 'combat', 'stealth', 'movement', 'graphics', 'series']",with ac iv ubsisoft masters the art of mass appeal gaming in a spectacular open world unfortunately its game play is as shallow as its world is vast and its mechanics are pathetically anemic for an annualized franchise i 'm writing this review after having completd only about half of the main story because i 'm debating whether or not to continue after 20 or so hours the aspects of the game that were initally fun have beocme boring and repetive and its shortcoming are a constant source of frustration quite simply the game is no longer fun to play graphics quality is good the story is decent although it unfolds most through cut -scenes and linear missions combat is the same brain -dead block and parry nonsense that got old in the original assassins creed free run as glitchy as ever and quite often freely decides to move in a direction that defies all logic often resulting in a spectacular plummet from heights that took several minutes of diligent manuerving to achieve stealth is even more poorly implemented auto -stealth zones are a poor man 's stealth mechanic and ac iv continues to use them liberally the combination of simplsitic stealth and imprecise movement is a recipe for frustration many times i have been hangling from a ledge with a guard patrolling above waiting for the pricise moment to pounce when suddenly i jump up right in front of him no apparent reason triggering an alarm and failing the segment such fundamental flaws are unforgivable after a half dozen or so ac release iterations in all fairness resource gathering and crafting is greatly improved sea battles are the source of raw materials for upgrading your ship and upgrades are a neccesity to defeat stronger vessels but even then sailing around the world plays out like a single -player mmo enemy ships are everywhere so you must contantly engage in battle to get anywhere ship battles are fun for the most part but do get reptitive after sinking a couple hundred foes but grinding is required if you to obtain enough upgrades to take on legendary ships there are quite a few other activities as well like hunting and finding misc collecetibles and treasure but the appeal of those diversions eventually wears thin as well there are also a few out -of-animus experiences thrown for good measure they are so linear slow and dull then when given the chance of hacking a computer or jumping off a building i was dismayed to learn suicide was not actually an option which was unfortunate becuase the hacking mini -game made me want to kill myslef in real life so i 'm debating whether or not to continue my pirate adventure i 've actually put it away a couple times already then decided it deserved more of a chance i really want to like this game it presents a world full of potential unfortunatetly my voyages in ac iv seem to ultimately ground themelves on the rocks of shallow glitchy game play and missed opportunity so to save others the same frustrations it gets a thumbs down from me
"['series', 'combat', 'storyline', 'graphics', 'music', 'entertainment value']",black flag after the ezio trilogy is one of my favourite ac games the ship combat is just so much fun the carribean is a great setting i love pirates anyway and edward kenway is so much of an egotistical asshole that you just have to love him as a protagonist while gameplay wise black flag is probably the strongest title before origins it has one of the weakest main stories of the entire series as well as the most retarded 'community' collectables it does look absolutely beautiful on 4k even five years after release and sports a brilliant soundtrack (as well as several dozen historically accurate sea shanties which are just plain awesome anyone who likes pirates and the franchise definitely has to have played this and even for all other people out of those categories it is worth a look
"['pirate theme', 'assassin theme']",even with all the cons i love this game this spirit of freedom drunkenness and pirates truly give away that atmosphere thanks for the game i went through it completely and am glad that i played this game assassin ’s creed iv black flag is best wich all assassin ’s
"['storyline', 'pirate theme']",by far the best assassin 's creed title to date at release fully -featured and stream -lined; nothing has been skimped on as a fan of sid meier 's pirates on the commodore 64 ac4 was a thrill to play black flag extends the seafaring experience of ac3 becoming the central focus only occasionally interrupted by assassinations which comprise of the usual ac fare my only real complaint there 's too much of it that being said i still played both expansions aveline and freedom cry the former a nice short adventure but by the time i finished the latter i was happy to be done skinnyfat lists 
"['pirate theme', 'assassin theme', 'combat']",a pirate that is an assassin killer that is a killer what could be better
['pirate theme'],boi if you are into pirates play this 'ω' 'ω'
"['storyline', 'exploration']",it 's a great ac game and a fun story but honestly the side content is the best part there 's a bunch of upgrades available tons of treasure to find and plunder forts to take over shipwrecks to scavenge and even go whaling for rare materials it doesn 't really add any new spice to the table on the ac side but it also doesn 't fail to deliver quality action so nothing to complain about there it would be nice to see more pirate games take notes from this game
"['pirate theme', 'storyline', 'combat', 'exploration', 'series', 'graphics', 'customer support', 'uplay', 'full screen', 'entertainment value']","yeargh i had high expectations for this game after all the positive things i had heard about it though i know all too well that sometimes those things that alot of people think is great to me are far less so assassin 's creed 4 black flag is not one of those cases this game is awesome period it helps considerably that black flag shakes up the ac series which was in desperate need of something new and fresh ac2 and acb were awesome but acr added little new and ac3 seemed to have forgotten it was a game series that does killing better than managing a homestead about the only interesting thing ac3 did was add some naval missions which was a first for the series and ended up being the highlight of that game for me and it only got better in black flag as it had better considering this game centers around the 'golden age of piracy in the early 1700 's. a time when the spanish empire was still strong in the americas but the british were fast becoming dominant as well as usual you meet a fair number of historical figures here and this time it 's a more colorful cast for obvious reasons your main character edward kenway is a welsh pirate who in his desire for wealth and to support a family back home decides to venture to the caribbean to seek his fortune as far as ac protagonists go for me edward is a close second to ezio as being characters that i really like being much more interesting than his grandson connor from ac3 ever was story and characters are good here but it 's gameplay that makes this great black flag is in essence everything you could ever want in a pirate game lots of rum buried treasure fights and most of all sailing around in a huge open map able to attack and plunder as you please as far as sandbox games go there are two types the kind that have giant interesting open worlds that i can explore for hours without getting bored (fallout 3 skyrim most of the saints row games and others that end up leading me to just play the main missions because i see little reason to go exploring (oblivion, sleeping dogs some previous ac games black flag is the former i spent so much time just wandering about that i had to force myself to do story missions because i would otherwise never finish the game oh and one highlight worth mentioning money is actually useful in this game unlike past ac games where you used cash to do some management thing or improve your house you need mountains of cash to improve your ship which only encourages you further to roam the open world causing mayhem i hope future ac games take this approach because renovating shops or doing trade is at odds with the action gameplay and using the cash to further the gameplay you actually do is good this game isn 't perfect though the story missions are decent but too often involve tailing missions where you have to follow some tosser without being spotted a few are ok but they seem more common in this game than in past ac games and compared to the glory that is open world pirate action following some tosser through the streets of havana or kingston is completely uninteresting i also had a few bugs and one crash but this is hardly the most unstable game i 've ever played my new monster pc ran this game great on max settings but for others it may be a different story lastly i can do without the hunting and whaling stuff if only because i don 't like killing huggly animals except sharks fuck sharks also fuck uplay for simply existing and having achievements separate from steam ones anyways this game is awesome it might even be the best ac game i 've played it 's certainly comparable to ac2 and acb for those who saw the series stagnate after those games black flag is a sign that there is still life in this franchise and that maybe there are more great games to come from it we shall see :o yeargh"
"['character', 'storyline', 'assassin theme', 'series']",the protagonist edward kenway has some amazing character development and is a very interesting character since he is defined and built from his relationships with the people he has in his life the game itself plays well and never runs out of things to do which is almost overwhelming its a great assassins creed game let along game but for a pirate game it tops all others that i have seen i am one of the biggest fans of assassins creed saga and would recommend it to anybody who has even a slight interest in the assassins creed games
"['pirate theme', 'shanties', 'uplay', 'series']",leave her johnny leave her tomorrow ye will get your pay and it 's time for us to leave her for those of you who don 't know the 'her' being left is not a woman but the ship this shanty was traditionally sung when the ship was at port after it had docked in the final spell at the pumps done this game on my xbox 360 5 years ago but i couldn 't stop myself to play it again
"['storyline', 'combat', 'pirate theme']",good story good gameplay but everybody just wants to remember the sly cooper pirate battles
['no topic'],still amazing even in the year of 2020
"['series', 'uplay']",the game itself is great easily the best ac game since ac 2 but since you have to use uplay it ruins the whole experiance if you can get uplay to even run you 'll see yourself playing many hours of black flag only for uplay to erase all of your progress because of uplay i cannot recomend this game at all or any ubisoft game
"['assassin theme', 'graphics', 'exploration', 'combat', 'movement', 'character', 'storyline', 'entertainment value', 'uplay']",ac iv black flag this is my best assassins creed i ever played positive +amazing graphic +great open world experience +nice easter eggs +combat is pretty easy and have cool finishers +game have a few very emotional moments that maybe make you cry +great freerunning /parkour control easiest to run climb +lot of swords pistols clothes for you to choose +great ship controls ship attacks +amazing water effects +great kenways fleet rewards that cant get in cracked version +nice island features you can buy once you get a island +great diving experience very realistic sharks +great story it show how pirates want money and all that stuff +nice ship upgrades it helps attacking stronger boats +and of course once you reach 100 complete of game ll cheats are unlocked great experience fighting against law while sea want to kill you too +community is great +i recommend add some friends on uplay much easier to play friends can speed your fleet share social tresures etc +after finishing game very touching moments negative -if you play without friends finding social treasures are like needle in haystack -why did ubisoft kill mary she was good -eavesdroping is only thing i hate in all game but its cool -uplay if you didnt played this game you dont know what you missing
